месяц,Множитель Ж,Множитель Ж
1,	1,	1
2,	1,	0.958575209593234
3,	1,	0.92217474235188
4,	1,	0.894876609838683
5,	1,	0.872783191140158
6,	1,	0.855864914018719
7,	0.951509306527852,	0.842604722686342
8,	0.933087304493509,	0.830713725954074
9,	0.914665302459164,	0.819603436294007
10,	0.89624330042482,	0.79593086010853
11,	0.877821298390475,	0.776978013041357
12,	0.85939929635613,	0.761597492274253
13,	0.840977294321786,	0.752740607118038
14,	0.822555292287441,	0.741100974405228
15,	0.804133290253097,	0.734858275051382
16,	0.788191234368456,	0.727533231801984
17,	0.773340227367917,	0.72455530747734
18,	0.760244455214504,	0.71794591237746
19,	0.747902064261354,	0.712395203383064
20,	0.736588604080656,	0.706167290148009
21,	0.727057455872674,	0.699939376912954
22,	0.717526307664693,	0.693711463677899
23,	0.70799515945671,	0.687483550442844
24,	0.698464011248729,	0.681255637207789
25,	0.688932863040748,	0.675027723972735
26,	0.679401714832766,	0.66879981073768
27,	0.669870566624785,	0.662571897502625
28,	0.660339418416803,	0.65634398426757
29,	0.65080827020882,	0.650116071032515
30,	0.641277122000839,	0.64388815779746
31,	0.631745973792858,	0.637660244562405
32,	0.622214825584876,	0.63143233132735
33,	0.612683677376895,	0.625204418092295
34,	0.603152529168913,	0.618976504857241
35,	0.593621380960932,	0.612748591622186
36,	0.584090232752949,	0.606520678387131
37,	0.574559084544968,	0.600292765152076
38,	0.565027936336986,	0.594064851917021
39,	0.555496788129005,	0.587836938681966
40,	0.545965639921023,	0.581609025446911
41,	0.536434491713042,	0.575381112211856
42,	0.526903343505059,	0.569153198976801
43,	0.517372195297078,	0.562925285741747
44,	0.507841047089096,	0.556697372506692
45,	0.498309898881115,	0.550469459271637
46,	0.488778750673133,	0.544241546036582
47,	0.485902602465152,	0.538013632801527
48,	0.48302645425717,	0.531785719566472
49,	0.480150306049189,	0.525557806331417
50,	0.477274157841208,	0.519329893096362
51,	0.474398009633226,	0.513101979861307
52,	0.471521861425245,	0.513101979861307
53,	0.468645713217263,	0.513101979861307
54,	0.465769565009282,	0.513101979861307
55,	0.4628934168013,	0.513101979861307
56,	0.460017268593319,	0.513101979861307
57,	0.457141120385338,	0.513101979861307
58,	0.454264972177355,	0.513101979861307
59,	0.451388823969373,	0.513101979861307
60,	0.448512675761392,	0.513101979861307
61,	0.445636527553411,	0.513101979861307
62,	0.442760379345429,	0.513101979861307
63,	0.439884231137448,	0.513101979861307
64,	0.437008082929466,	0.513101979861307
65,	0.434131934721485,	0.513101979861307
66,	0.431255786513503,	0.513101979861307
67,	0.434131934721485,	0.513101979861307
68,	0.437008082929466,	0.513101979861307
69,	0.439884231137448,	0.513101979861307
70,	0.442760379345429,	0.513101979861307
71,	0.445636527553411,	0.513101979861307
72,	0.448512675761392,	0.513101979861307
73,	0.451388823969373,	0.513101979861307
74,	0.454264972177355,	0.513101979861307
75,	0.457141120385336,	0.513101979861307
76,	0.460017268593318,	0.513101979861307
77,	0.462893416801299,	0.513101979861307
78,	0.465769565009281,	0.513101979861307
79,	0.468645713217262,	0.513101979861307
80,	0.471521861425243,	0.513101979861307
81,	0.474398009633225,	0.513101979861307
82,	0.477274157841206,	0.513101979861307
83,	0.480150306049188,	0.513101979861307
84,	0.483026454257169,	0.513101979861307
85,	0.485902602465151,	0.513101979861307
86,	0.488778750673132,	0.513101979861307
87,	0.488992898881114,	0.513101979861307
88,	0.489207047089095,	0.513101979861307
89,	0.489421195297076,	0.513101979861307
90,	0.489635343505058,	0.513101979861307
91,	0.489849491713039,	0.513101979861307
92,	0.490063639921021,	0.513101979861307
93,	0.490277788129002,	0.513101979861307
94,	0.490491936336984,	0.513101979861307
95,	0.490706084544965,	0.513101979861307
96,	0.490920232752946,	0.513101979861307
97,	0.491134380960928,	0.513101979861307
98,	0.491348529168909,	0.513101979861307
99,	0.491562677376891,	0.513101979861307
100,	0.491776825584872,	0.513101979861307
101,	0.491990973792854,	0.513101979861307
102,	0.492205122000835,	0.513101979861307
103,	0.492419270208816,	0.513101979861307
104,	0.492633418416798,	0.513101979861307
105,	0.492847566624779,	0.513101979861307
106,	0.493061714832761,	0.513101979861307
107,	0.493275863040742,	0.513101979861307
108,	0.493490011248723,	0.513101979861307
109,	0.493704159456705,	0.513101979861307
110,	0.493918307664686,	0.513101979861307
111,	0.494132455872668,	0.513101979861307
112,	0.494346604080649,	0.513101979861307
113,	0.494560752288631,	0.513101979861307
114,	0.494774900496612,	0.513101979861307
115,	0.494989048704594,	0.513101979861307
116,	0.495203196912575,	0.513101979861307
117,	0.495417345120557,	0.513101979861307
118,	0.495631493328538,	0.513101979861307
119,	0.495845641536519,	0.513101979861307
120,	0.496059789744501,	0.513101979861307
121,	0.496273937952482,	0.513101979861307
122,	0.496488086160464,	0.513101979861307
123,	0.496702234368445,	0.513101979861307
124,	0.496916382576426,	0.513101979861307
125,	0.497130530784408,	0.513101979861307
126,	0.497344678992389,	0.513101979861307
127,	0.497558827200371,	0.513101979861307
128,	0.497772975408352,	0.513101979861307
129,	0.497987123616334,	0.513101979861307
130,	0.498201271824315,	0.513101979861307
131,	0.498415420032297,	0.513101979861307
132,	0.498629568240278,	0.513101979861307
133,	0.498843716448258,	0.513101979861307
134,	0.499057864656239,	0.513101979861307
135,	0.499272012864221,	0.513101979861307
136,	0.499486161072202,	0.513101979861307
137,	0.499700309280184,	0.513101979861307
138,	0.499914457488165,	0.513101979861307
139,	0.500128605696147,	0.513101979861307
140,	0.500342753904128,	0.513101979861307
141,	0.50055690211211,	0.513101979861307
142,	0.500771050320091,	0.513101979861307
143,	0.500985198528072,	0.513101979861307
144,	0.501199346736054,	0.513101979861307
145,	0.501413494944035,	0.513101979861307
146,	0.501627643152017,	0.513101979861307
147,	0.501841791359998,	0.513101979861307
148,	0.50205593956798,	0.513101979861307
149,	0.502270087775961,	0.513101979861307
150,	0.502484235983942,	0.513101979861307
151,	0.502698384191924,	0.513101979861307
152,	0.502912532399905,	0.513101979861307
153,	0.503126680607887,	0.513101979861307
154,	0.503340828815868,	0.513101979861307
155,	0.50355497702385,	0.513101979861307
156,	0.503769125231831,	0.513101979861307
157,	0.503983273439812,	0.513101979861307
158,	0.504197421647794,	0.513101979861307
159,	0.504411569855775,	0.513101979861307
160,	0.504625718063757,	0.513101979861307
161,	0.504839866271738,	0.513101979861307
162,	0.50505401447972,	0.513101979861307
163,	0.505268162687701,	0.513101979861307
164,	0.505482310895683,	0.513101979861307
165,	0.505696459103664,	0.513101979861307
166,	0.505910607311645,	0.513101979861307
167,	0.506124755519627,	0.513101979861307
168,	0.506338903727608,	0.513101979861307
169,	0.50655305193559,	0.513101979861307
170,	0.506767200143571,	0.513101979861307
171,	0.506981348351552,	0.513101979861307
172,	0.507195496559534,	0.513101979861307
173,	0.507409644767515,	0.513101979861307
174,	0.507623792975497,	0.513101979861307
175,	0.507837941183478,	0.513101979861307
176,	0.50805208939146,	0.513101979861307
177,	0.508266237599441,	0.513101979861307
178,	0.508480385807423,	0.513101979861307
179,	0.508694534015404,	0.513101979861307
180,	0.508908682223386,	0.513101979861307
181,	0.509122830431367,	0.513101979861307
182,	0.509336978639348,	0.513101979861307
183,	0.50955112684733,	0.513101979861307
184,	0.509765275055311,	0.513101979861307
185,	0.509979423263293,	0.513101979861307
186,	0.510193571471274,	0.513101979861307
187,	0.510407719679255,	0.513101979861307
188,	0.510621867887237,	0.513101979861307
189,	0.510836016095218,	0.513101979861307
190,	0.5110501643032,	0.513101979861307
191,	0.511264312511181,	0.513101979861307
192,	0.511478460719162,	0.513101979861307
193,	0.511692608927144,	0.513101979861307
194,	0.511906757135126,	0.513101979861307
195,	0.512120905343107,	0.513101979861307
196,	0.512335053551088,	0.513101979861307
197,	0.51254920175907,	0.513101979861307
198,	0.512763349967051,	0.513101979861307
199,	0.512977498175033,	0.513101979861307
200,	0.513191646383014,	0.513101979861307
201,	0.513405794590995,	0.513101979861307
